주소,업소명,업종,연락처,메뉴1,가격1,메뉴2,가격2,메뉴3,가격3
"서울특별시 종로구 삼일대로 428 (낙원동, 4층)",㈜추억을 파는 극장 (허리우드클래식),기타비요식업,02-367-4235,영화입장권(경로),2000.0,,,,
서울특별시 종로구 삼청로 136-1,눈나무집,한식_일반,02-739-6742,김치말이국수,6500.0,김치볶음밥,6500.0,,
서울특별시 종로구 종로 125 (종로3가) 1~2층,대륙,중식,02-766-8411,짜장면,7000.0,짬뽕,8000.0,,
서울특별시 종로구 대학로5길 5 (연건동),돈까스보라,양식,02-741-3455,수제 돈까스,7000.0,,,,
서울특별시 종로구 종로53길 7-2 1층,만족김치삼겹살(만족숯불갈비),한식_육류,02-765-1298,김치삼겹살,14000.0,,,,
서울특별시 종로구 수표로 117 (낙원동),먹고갈래지고갈래,한식_일반,02-367-1239,삼계탕,13000.0,산채비빔밥,7000.0,,
서울특별시 종로구 계동길 91,믿음미용실,미용업,,커트,8000.0,파마,25000.0,,
서울특별시 종로구 동숭길 51 (동숭동),삼삼 뚝배기,한식_일반,02-765-4683,된장뚝배기,7000.0,순두부뚝배기,7000.0,황기반계탕,7500.0
서울특별시 종로구 창신길 50 (창신동) 1층,서울식당,한식_일반,02-764-7587,백반,7000.0,된장찌개,8000.0,,
서울특별시 종로구 북촌로5길 39 (화동) 1층,서울풍경,한식_일반,02-735-7799,서울풍경정식(제육뚝불고등어조림된장찌개)(점심2인이상),15000.0,왕돈가스,10000.0,,
서울특별시 종로구 세종대로23길 54 (당주동) 지하1층 26호,세종커피,기타요식업,,아메리카노,2500.0,카페라떼,3500.0,에이드/스무디,4500.0
서울특별시 종로구 창신3길 9 (창신동),수원성갈비,한식_육류,02-745-3576,돼지갈비(250g),13000.0,,,,
서울특별시 종로구 종로 302 (창신동),약속커피숍,기타요식업,02-764-1100,원두커피,2000.0,녹차,2000.0,,
서울특별시 종로구 지봉로 62 (숭인동),영미용실,미용업,02-743-6052,커트,8000.0,파마,20000.0,,
서울특별시 종로구 종로44길 94 (창신동) 1층,옛촌,한식_일반,02-745-1235,돼지갈비김치찜,13000.0,제육볶음,10000.0,동태탕,10000.0
서울특별시 종로구 종로 222 (종로5가),왕관커피숍,기타요식업,02-226-8365,커피,2000.0,국산차,2000.0,,
서울특별시 종로구 사직로 108-6 (내자동),은미용실,미용업,02-738-1882,커트,5000.0,파마,25000.0,,
서울특별시 종로구 수표로 115 (낙원동),이레이발관,이용업,,커트,6000.0,,,,
